productId;product;brand;name;series;purpose;weight;side;hoseType;brakePads;oilType;comment
BR-M8000-L;hydraulic brake;Shimano;XT;M-8000;mountain;0.402;FRONT;SM_BH90_SBM;G04S, J04C, J02A, G02A;MINERAL;I-SPEC 2
BR-M8000-R;hydraulic brake;Shimano;XT;M-8000;mountain;0.402;REAR;SM_BH90_SBM;G04S, J04C, J02A, G02A;MINERAL;I-SPEC 2
BR-M8020-L;hydraulic brake;Shimano;XT;M-8000;mountain;0.442;FRONT;SM_BH90_SBLS;D01S, H01A, H03C;MINERAL;I-SPEC 2
BR-M8020-R;hydraulic brake;Shimano;XT;M-8000;mountain;0.442;REAR;SM_BH90_SBLS;D01S, H01A, H03C;MINERAL;I-SPEC 2
