productId;product;brand;name;series;purpose;weight;width;diameter;tubeless;comment;comment
TR-SCHW-SMS-65-622-BL;Tyre;Schwalbe;Smart-Sam;Performance;Mountain;0.595;65;622;false;null;addix blue
TR-SCHW-SMS-57-622-BL;Tyre;Schwalbe;Smart-Sam;Performance;Mountain;0.595;57;622;false;null;addix blue
TR-SCHW-SMS-42-622-BL;Tyre;Schwalbe;Smart-Sam;Performance;Mountain;0.595;42;622;false;null;addix blue
TR-SCHW-SMS-57-584-BL;Tyre;Schwalbe;Smart-Sam;Performance;Mountain;0.595;57;584;false;null;addix blue
TR-SCHW-SMS-57-559-BL;Tyre;Schwalbe;Smart-Sam;Performance;Mountain;0.595;57;559;false;null;addix blue
