productId;product;brand;name;series;purpose;weight;length;diameter;material;travel;cableRouteType;comment
2812-3048;seatpost;Specialized;Pro 2 Alloy;Pro;All;0.258;400;27.2;aluminium;null;null;null
2812-3049;seatpost;Specialized;Pro 2 Alloy;Pro;All;0.258;400;30.9;aluminium;null;null;null
DS-RS-RV-ST-340-309-100-IN;dropper seatpost;Rock Shox;Reverb Stealth;Reverb;Mountain;0.560;340;30.9;;100;inner;hydraulic
DS-RS-RV-ST-340-316-100-IN;dropper seatpost;Rock Shox;Reverb Stealth;Reverb;Mountain;0.0;340;31.6;;100;inner;hydraulic
DS-RS-RV-ST-340-349-100-IN;dropper seatpost;Rock Shox;Reverb Stealth;Reverb;Mountain;0.0;340;34.9;;100;inner;hydraulic
